OBSERVATION_DATETIME,mexico_city,reykjavik,anchorage,cape_horn,albuquerque,buenos_aires,vancouver,brasilia,nyc
2011-04-26,295.200012207,277.070007324,272.020019531,276.020019531,276.66998291,291.950012207,276.320007324,295.720001221,289.41998291
2011-04-27,293.929992676,277.220001221,271.75,278.970001221,279.119995117,293.070007324,274.970001221,294.66998291,291.029998779
2011-04-28,292.25,277.16998291,272.549987793,278.369995117,286.720001221,292.950012207,275.450012207,293.850006104,288.220001221
2011-04-29,295.799987793,277.5,272.720001221,277.570007324,283.350006104,290.279998779,275.970001221,295.25,284.400024414
2011-04-30,295.799987793,278.279998779,271.270019531,278.600006104,277.400024414,285.900024414,276.5,295.5,286.369995117
2011-05-01,295.75,279.100006104,270.25,279.350006104,273.16998291,280.25,277.450012207,294.869995117,285.820007324
2011-05-02,291.799987793,279.91998291,271.450012207,279.299987793,278.619995117,280.5,276.200012207,294.929992676,289.100006104
2011-05-03,286.5,277.869995117,272.200012207,276.720001221,283.799987793,283.869995117,276.020019531,295.020019531,287.320007324
2011-05-04,289.119995117,277.66998291,273.799987793,275.929992676,285.970001221,289.150024414,277.470001221,295.950012207,283.720001221
2011-05-05,289.600006104,278.400024414,274.119995117,275.770019531,290.020019531,285.520019531,278.0,296.119995117,285.66998291
2011-05-06,289.75,278.75,271.270019531,274.66998291,289.950012207,287.520019531,277.820007324,296.299987793,286.720001221
2011-05-07,292.570007324,279.100006104,271.619995117,277.070007324,290.0,286.869995117,277.150024414,296.150024414,286.91998291
2011-05-08,294.029998779,280.25,274.220001221,275.900024414,288.929992676,282.049987793,278.850006104,294.850006104,287.650024414
2011-05-09,294.150024414,280.16998291,273.950012207,278.350006104,284.650024414,286.549987793,277.869995117,294.850006104,287.799987793
2011-05-10,294.799987793,278.25,270.770019531,277.720001221,280.049987793,290.5,278.220001221,295.5,286.970001221
2011-05-11,294.41998291,277.650024414,272.549987793,278.75,281.100006104,287.799987793,276.5,295.350006104,287.91998291
2011-05-12,295.16998291,277.900024414,273.020019531,280.070007324,283.66998291,287.850006104,277.650024414,295.070007324,286.91998291
2011-05-13,293.5,278.400024414,273.950012207,281.25,287.929992676,288.25,280.770019531,295.700012207,287.450012207
2011-05-14,292.299987793,277.16998291,273.549987793,282.320007324,288.529998779,286.16998291,282.270019531,296.119995117,289.549987793
2011-05-15,292.850006104,275.869995117,273.66998291,281.520019531,288.029998779,286.150024414,279.600006104,296.549987793,289.600006104
2011-05-16,293.16998291,276.0,275.5,282.299987793,286.520019531,286.75,276.270019531,294.400024414,288.619995117
2011-05-17,293.619995117,277.369995117,276.950012207,279.66998291,283.320007324,286.850006104,278.619995117,294.83001709,289.070007324
2011-05-18,294.100006104,276.400024414,277.41998291,275.75,279.299987793,286.700012207,279.570007324,295.16998291,289.350006104
2011-05-19,294.529998779,274.16998291,276.470001221,276.070007324,278.570007324,289.270019531,281.75,294.5,288.650024414
2011-05-20,294.850006104,273.25,275.600006104,274.66998291,282.970001221,289.950012207,282.350006104,294.100006104,288.900024414
2011-05-21,295.049987793,275.150024414,279.150024414,274.970001221,287.450012207,289.41998291,279.75,294.029998779,289.950012207
2011-05-22,296.270019531,273.070007324,276.820007324,278.320007324,288.570007324,281.5,279.100006104,292.41998291,289.41998291
2011-05-23,296.150024414,273.850006104,278.700012207,276.450012207,285.66998291,282.770019531,280.720001221,292.369995117,293.119995117
2011-05-24,296.299987793,275.850006104,279.970001221,277.900024414,284.75,284.200012207,282.75,294.5,294.0
2011-05-25,296.0,278.369995117,282.549987793,279.650024414,291.400024414,281.799987793,280.150024414,295.950012207,293.850006104
2011-05-26,294.470001221,278.41998291,287.700012207,282.520019531,292.470001221,282.16998291,277.950012207,295.58001709,295.020019531
2011-05-27,294.270019531,278.570007324,286.850006104,278.299987793,293.049987793,282.91998291,278.66998291,294.66998291,294.0
2011-05-28,294.450012207,278.470001221,283.270019531,278.700012207,292.520019531,283.91998291,281.350006104,295.770019531,294.150024414
2011-05-29,293.799987793,276.320007324,283.650024414,280.5,290.119995117,284.029998779,281.119995117,296.270019531,295.470001221
2011-05-30,292.100006104,278.299987793,284.450012207,277.150024414,285.070007324,285.0,282.150024414,296.41998291,297.150024414
2011-05-31,290.0,279.049987793,281.100006104,276.820007324,294.25,284.869995117,283.0,296.679992676,296.779998779
2011-06-01,289.619995117,278.619995117,280.950012207,276.650024414,296.400024414,284.549987793,280.869995117,297.41998291,295.75
2011-06-02,290.779998779,277.150024414,281.299987793,278.400024414,294.850006104,283.850006104,280.820007324,296.270019531,290.75
2011-06-03,289.600006104,278.570007324,277.150024414,277.200012207,295.220001221,278.650024414,282.770019531,297.450012207,291.070007324
2011-06-04,289.470001221,278.770019531,277.950012207,275.179992676,296.400024414,278.850006104,284.529998779,294.58001709,292.0
2011-06-05,288.900024414,275.91998291,278.150024414,275.049987793,295.66998291,280.779998779,284.570007324,295.970001221,292.470001221
2011-06-06,290.25,277.100006104,281.25,273.070007324,293.720001221,281.320007324,281.970001221,296.900024414,294.549987793
2011-06-07,290.270019531,277.020019531,279.549987793,275.429992676,292.41998291,282.200012207,282.799987793,297.08001709,297.08001709
2011-06-08,290.91998291,276.320007324,280.020019531,274.91998291,290.91998291,282.850006104,284.0,297.799987793,299.5
2011-06-09,290.720001221,277.470001221,279.119995117,275.720001221,290.119995117,283.950012207,282.270019531,295.770019531,296.900024414
2011-06-10,290.779998779,281.0,279.400024414,277.270019531,292.41998291,286.220001221,281.520019531,294.049987793,295.179992676
